Year,State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,TAS Code,Solicitation ID,Solicitation POC,Description
2024,CA,CA-42,Rocket Lab Usa Inc,80HQTR24CA009 Modification 0 (Base Record),HQ - Headquarters Acquisition Division,"LONG BEACH, CA (District 42)",09/27/2024,12/26/2024,"Definitive Contract, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$625,000","$625,000",541715,,24-RASMSR24-0017,,Contractor to provide rapid studies for the Mars Sample Return (MSR) program.
2023,TX,TX-36,Merrick & Company,80JSC022FA065 Modification P00001,JSC - Johnson Space Flight Center,"HOUSTON, TX (District 36)",02/01/2023,03/03/2023,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,541330,,,,Architect and engineering Mars Sample Return facility assessment
2023,TX,TX-36,Jacobs Engineering Group Inc.,80JSC022FA066 Modification P00001,JSC - Johnson Space Flight Center,"HOUSTON, TX (District 36)",02/03/2023,03/03/2023,"Delivery Order, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization",$0,$0,541330,,,,Architect and engineering Mars Sample Return facility assessment
2023,TX,TX-36,Booz Allen Hamilton Inc,80JSC023FA123 Modification 0 (Base Record),JSC - Johnson Space Flight Center,"HOUSTON, TX (District 36)",03/15/2023,09/15/2023,"BPA Call, Firm Fixed Price","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","$462,897","$462,897",541330,,,,Mars Sample Return project assessment - speac II
2025,VA,VA-03,Cornell Technical Services Llc,80LARC20F0078 Modification P00002,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",03/28/2025,07/31/2021,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-1,005",$0,541712,,,,2020 Mars Sample Return Standing Review Board
2025,VA,VA-03,Cornell Technical Services Llc,80LARC20F0087 Modification P00003,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",03/28/2025,02/28/2021,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-1,652",$0,541712,,,,Mars Sample Return program Independent Review Board
2025,VA,VA-03,Cornell Technical Services Llc,80LARC21F0098 Modification P00010,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",01/13/2025,08/29/2025,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",$0,$0,541715,,,,Mars Sample Return Standing Review Board (SRB) support
2025,CA,CA-36,The Aerospace Corporation,80LARC21F0099 Modification P00012,LaRC - Langley Research Center,"EL SEGUNDO, CA (District 36)",01/17/2025,05/31/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Corporate Entity Tax Exempt, Nonprofit Organization",$0,$0,541715,,,,Mars Sample Return micrometeoroid and orbital debris protection review
2025,VA,VA-08,Institute For Defense Analyses Incorporated,80LARC21F0107 Modification P00015,LaRC - Langley Research Center,"ALEXANDRIA, VA (District 08)",11/22/2024,03/31/2025,"Delivery Order, Cost Plus Fixed Fee",Non-Profit Institutions - Nonprofit Organization,$0,$0,541990,,,,"Conduct scientific review of the Mars Sample Return vehicle and sample return risk, to propose alternative design improvements, review aspects of the micrometeroid and orbital debris (MMOD) design and other activities."
2024,VA,VA-03,Cornell Technical Services Llc,80LARC21F0117 Modification P00006,LaRC - Langley Research Center,"HAMPTON, VA (District 03)",09/04/2024,08/31/2025,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$525,000","$1,127,090",541715,,,,Mars Sample Return (MSR) program office support
2024,MD,MD-03,Cornell Technical Services Llc,80LARC23F0030 Modification P00005,LaRC - Langley Research Center,"COLUMBIA, MD (District 03)",05/13/2024,03/31/2024,"Delivery Order, Cost Plus Fixed Fee","Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","$-544,766",$0,541715,,,,Mars Sample Return (MSR) Independent Review Board (IRB) support
2024,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC23F0056 Modification P00002,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",08/12/2024,09/30/2025,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization",$0,$0,541715,,,,Johns Hopkins University Applied Physics Laboratory (JHU/APL) supports Mars Sample Return (MSR) program Standing Review Board (SRB).
2024,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC24F0006 Modification 0 (Base Record),MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",10/24/2023,03/31/2024,"Delivery Order, Cost Plus Fixed Fee","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization","$254,135","$254,135",541715,,80MSFC20D0004,,Mars Sample Return (MSR) Independent Review Board (IRB) support
2025,MD,MD-03,"Johns Hopkins University Applied Physics Laboratory Llc, The",80MSFC24F0093 Modification P00002,MSFC - Marshall Space Flight Center,"LAUREL, MD (District 03)",11/14/2024,12/31/2024,"Delivery Order, Firm Fixed Price","Non-Profit Institutions - Limited Liability Corporation, Other Not For Profit Organization",$0,$0,541715,,,,Johns Hopkins University Applied Physics Laboratory (JHU/APL) supports rapid mission design study for Mars Sample Return program.
2025,CA,CA-28,California Institute Of Technology,80NM0021F0008 Modification P00051,NOJMO - NASA Office of JPL Management and Oversight,"PASADENA, CA (District 28)",06/12/2025,09/24/2028,"Delivery Order, Cost Plus Fixed Fee","Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College","$18,203,593",$0,541715,,,,Mars Sample Return (MSR) program phases a through d (10-108270)
2023,WV,WV-02,West Virginia University Research Corporation,80NSSC17M0053 Modification P00004,NSSC - NASA Shared Services Center,"MORGANTOWN, WV (District 02)",03/07/2023,09/15/2022, Cooperative Agreement,"Educational - 1862 Land Grant College, Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization","$-7,377","$-7,377",[None Indicated],,,,"The success of future NASA Mars Sample Return (MSR) mission CAN significantly benefit from increased onboard autonomy of planetary rovers. therefore, the technical objective of this proposed project is to develop and experimentally validate key technologies needed for autonomous rover traversing on mars-analog terrains. the goal is to reduce the number of sols needed to complete the MSR mission-required total traverse distance (i.e.,  fast traverse ). this will be achieved through increased rover operation  duty cycle  and  mean time between human interventions,  while utilizing limited onboard power and computational resources. more specifically, the fast traverse problem will be broken down and solved with five main research tasks: 1. prepare a test-bed rover and realistic test environments 2. achieve a high-level onboard situational awareness with limited computing resources 3. enable robust, flexible, and efficient decision making 4. develop new modes of human-robot collaboration with delayed and infrequent communications and 5. test and demonstrate the developed rover capabilities in relevant environments. the project will be conducted through a tight collaboration between west virginia university (wvu) and NASA Jet Propulsion Laboratory (JPL) with project members from both sides. the project will leverage wvu s autonomous rover, cataglyphis, the only robot to successfully complete NASA s sample return robot centennial challenge, and JPL s athena rover and simulators in completing the proposed research tasks. in particular, the wvu team will work closely with JPL s mobility and robotic systems section in performing rover research and conducting joint experiments at wvu, JPL s mars yard, and in the RED rock deserts of southern utah. the lessons learned through these efforts will be used to support MSR trade studies currently being conducted BY JPL mars program formulation office. systems-level innovation will be emphasized throughout the project: that is, leveraging unique opportunities provided BY the MSR mission to support novel rover autonomy capabilities. in addition, the project will emphasize end-to-end development and demonstration in realistic physical environments. in general, the project will advance the-state-of-the-art in autonomous robot operation in cluttered environments with severely limited onboard resources, which is well aligned with NASA s technology roadmap in robotics and autonomous systems. through this research effort, technologies, infrastructure, and expertise closely related to NASA planetary rover missions will be developed at wvu, which in turn will improve west virginia s competiveness in pursuing future NASA funded research projects."
2023,CO,CO-02,"Regents Of The University Of Colorado, The",80NSSC20K0240 Modification P00005,NSSC - NASA Shared Services Center,"BOULDER, CO (District 02)",09/05/2023,08/31/2024,"Grant, Grant For Research","Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",$0,$0,[None Indicated],,,,Application of the geochemical & mineralogical analytical capabilities of mars 2020 to evaluate thehistory of water/rock interaction of potential targets for Mars Sample Return
2025,CA,CA-12,"Regents Of The University Of California, The",80NSSC22K1369 Modification P00003,NSSC - NASA Shared Services Center,"BERKELEY, CA (District 12)",04/17/2025,08/31/2026,"Grant, Grant For Research","Educational - 1862 Land Grant College, Educational Institution, Other Not For Profit Organization",$0,$0,[None Indicated],,,,"The formation of the iron oxide hematite is strongly associated with oxidized fluids on earth. lithologies containing significant coarsegrained specular hematite have been previously identified on mars in conjunction with fine grained pigmentary hematite that is the source of its characteristic RED color. the presence of both specular and pigmentary hematite in sedimentary rocks on mars are indicators of the presence of liquid water at or NEAR the surface. given the importance of determining the timing of liquid water on the martian surface, developing tools to determine the timing of hematite formation is a priority. we propose to develop novel high spatial resolution radiometric dating and paleomagnetic techniques to date the formation of hematite in martian analogue 1.1 billion-yearold.fluvial and lacustrine sedimentary rocks on earth. the techniques developed from this work to constrain the relative and absolute chronology of hematite formation could be applied to returned martian samples that are brought to earth from Mars Sample Return missions to constrain the hydrologic and climatic conditions during deposition and fluid-mediated alteration. additionally, isolating the paleomagnetic signal in martian hematite in concert with robust age constraints has the potential to provide constraints on the temporal history of the martian geomagnetic field with connections to both martian interior and paleoclimatic conditions."
2025,CA,CA-28,Honeybee Robotics Llc,80NSSC24K0321 Modification P00002,NSSC - NASA Shared Services Center,"ALTADENA, CA (District 28)",02/19/2025,02/28/2027,"Grant, Grant For Research","Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","$148,954",$0,[None Indicated],,,,"Our FIRST goal is to determine through laboratory studies whether prion-like protein- or peptide-based assembly may survive mars and/ or icy moon conditions, thus providing either a substrate for proliferation or a source for contamination of sample return missions. this proposal responds to the call to  characterize the limits of life in laboratory simulations of relevant planetary environments and the potential and dynamics of BIO-molecule survival and reproduction in conditions present on the surface or subsurface of mars (e.g., gullies and ice-rich environments), or on europa and other icy satellites . understanding of the impact of out-of-earth conditions on prion proliferation may also shed light at the processes leading to emergence of life on earth and inform planetary protection requirements. the exposures will be performed in the proposed mars chamber and europa chamber (with R&D ad flight heritage) and analysis of proteins reproduction and inactivation will include a previously developed model. our second goal is to test proteinaceous particles with rapid high heat to fill in knowledge gaps for planetary protection (pp) requirements established BY NASA policy document (NPD) 8020.7g and NASA Procedural Requirements (NPR) 8715.24 which include rapid high heat temperatures at 500c for 0.5 seconds. with upcoming sample return missions (e.g. Mars Sample Return) there is an urgency to perform rapid high heat tests to explore the range of possible brazing temperatures for  break the chain . previous data ed prion inactivation BY high dry heat in principle, but the efficiency of short-term exposures is yet to be carefully explored. this proposal directly responds to the call to  experimentally measuring exposure of biomolecules to high temperatures for short periods of time . another application for rapid high testing is to understand impact heating to supplement risk based models for NASA s probabilistic models. finally, additional heating tests will include combined effects of simultaneous stressors such AS vacuum and radiation followed BY the treatment of the returned sample with dry heat microbial reduction (dhmr). these dhmr tests AIM to EXPAND our understanding of the survivability of proteinaceous particles when exposed to a heating source brought to space and or upon return to earth for inactivation."
2024,TX,TX-09,William Marsh Rice University,80NSSC24K1391 Modification 0 (Base Record),NSSC - NASA Shared Services Center,"HOUSTON, TX (District 09)",08/14/2024,08/14/2028,"Grant, Grant For Research","Educational - Corporate Entity Tax Exempt, Educational Institution, Other Not For Profit Organization, Private University Or College","$84,000","$336,000",[None Indicated],,,,"NASA's Mars Sample Return (MSR) mission requires a team of autonomous robots---a rover, lander, and orbiter---to work in concert to effectively return samples from the martian surface to earth."
